step,reward,avg_speed,cav_count,hdv_count
0,0.344009,5.897300,21,13
1,0.341018,5.846025,21,13
2,0.338013,5.794504,21,13
3,0.334498,5.734256,21,13
4,0.330925,5.672992,21,13
5,0.327600,5.615999,21,13
6,0.324166,5.557139,21,13
7,0.320047,5.486523,21,13
8,0.316178,5.420194,21,13
9,0.312279,5.353358,21,13
10,0.308168,5.282880,21,13
11,0.304796,5.225071,21,13
12,0.301138,5.162362,21,13
13,0.296989,5.091237,21,13
14,0.293145,5.025342,21,13
15,0.289741,4.966983,21,13
16,0.286305,4.908088,21,13
17,0.282607,4.844685,21,13
18,0.279191,4.786126,21,13
19,0.275692,4.726149,21,13
20,0.272068,4.664031,21,13
21,0.268677,4.605891,21,13
22,0.265664,4.554241,21,13
23,0.262288,4.496360,21,13
24,0.259127,4.442176,21,13
25,0.256006,4.388679,21,13
26,0.252515,4.328831,21,13
27,0.249481,4.276825,21,13
28,0.246201,4.220585,21,13
29,0.243255,4.170083,21,13
30,0.240107,4.116125,21,13
31,0.237115,4.064824,21,13
32,0.249919,4.284321,22,13
33,0.247101,4.236018,22,13
34,0.244018,4.183163,22,13
35,0.240751,4.127165,22,13
36,0.237653,4.074044,22,13
37,0.234372,4.017809,22,13
38,0.231200,3.963437,22,13
39,0.228188,3.911798,22,13
40,0.224734,3.852578,22,13
41,0.244234,3.801153,22,13
42,0.249226,3.758152,22,13
43,0.254731,3.723952,22,13
44,0.260082,3.687120,22,13
45,0.265300,3.648004,22,13
46,0.270667,3.611438,22,13
47,0.276216,3.577989,22,13
48,0.281903,3.546917,22,13
49,0.287364,3.511955,22,13
50,0.293057,3.480986,22,13
51,0.299124,3.456407,22,14
52,0.304826,3.425585,22,14
53,0.310422,3.392954,22,14
54,0.316304,3.365216,22,14
55,0.322354,3.340355,22,14
56,0.328483,3.316860,22,14
57,0.334632,3.293697,22,14
58,0.340688,3.268942,22,14
59,0.346731,3.243965,22,14
60,0.353176,3.225882,22,14
61,0.359214,3.200811,22,14
62,0.365663,3.182796,22,14
63,0.371878,3.160772,22,14
64,0.378277,3.141887,22,14
65,0.376520,3.111770,22,15
66,0.374921,3.084364,22,15
67,0.373325,3.057005,22,15
68,0.371702,3.029171,22,15
69,0.370147,3.002519,22,15
70,0.427867,2.973663,22,14
71,0.426352,2.947695,22,14
72,0.424937,2.923428,22,14
73,0.423675,2.901806,22,14
74,0.422206,2.876621,22,14
75,0.421050,2.856794,22,14
76,0.419742,2.834377,22,14
77,0.418463,2.812445,22,14
78,0.417376,2.793819,22,14
79,0.416174,2.773214,22,14
80,0.387897,2.288255,21,14
81,0.386955,2.272099,21,14
82,0.385724,2.251012,21,14
83,0.384772,2.234681,21,14
84,0.383908,2.219864,21,14
85,0.383048,2.205123,21,14
86,0.382086,2.188641,21,14
87,0.381146,2.172527,21,14
88,0.380504,2.161524,21,14
89,0.289821,1.625506,20,14
90,0.289015,1.611689,20,14
91,0.288314,1.599676,20,14
92,0.287697,1.589095,20,14
93,0.286889,1.575232,20,14
94,0.286239,1.564098,20,14
95,0.285747,1.555661,20,14
96,0.285141,1.545279,20,14
97,0.284512,1.534496,20,14
98,0.284011,1.525897,20,14
99,0.283492,1.517000,20,15
100,0.283024,1.508976,20,15
101,0.282231,1.495386,20,15
102,0.281136,1.476611,20,15
103,0.280234,1.461153,20,15
104,0.279289,1.444954,20,15
105,0.278390,1.429535,20,15
106,0.277674,1.417260,20,16
107,0.276914,1.404247,20,17
108,0.276248,1.392823,20,17
109,0.275624,1.382123,20,17
110,0.275027,1.371890,20,17
111,0.335611,1.362786,20,16
112,0.335135,1.354627,20,16
113,0.334659,1.346472,20,16
