approx_kl,clip_fraction,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,std,value_loss,fps,time_elapsed,total_timesteps,iterations
0,0,0,0,0.00099987328,0,0,0,0,0,0,0,128,0
0,0,0,0,0.00099974656,0,0,0,0,0,0,0,256,0
0,0,0,0,0.0009996198399999999,0,0,0,0,0,0,0,384,0
0,0,0,0,0.0009994931200000001,0,0,0,0,0,0,0,512,0
0,0,0,0,0.0009993664000000001,0,0,0,0,0,0,0,640,0
0,0,0,0,0.00099923968,0,0,0,0,0,0,0,768,0
0,0,0,0,0.00099911296,0,0,0,0,0,0,0,896,0
0,0,0,0,0.00099898624,0,0,0,0,0,0,0,1024,0
0,0,0,0,0.00099885952,0,0,0,0,0,0,0,1152,0
0,0,0,0,0.0009987328,0,0,0,0,0,0,0,1280,0
0,0,0,0,0.00099860608,0,0,0,0,0,0,0,1408,0
0,0,0,0,0.0009984793600000001,0,0,0,0,0,0,0,1536,0
0,0,0,0,0.00099835264,0,0,0,0,0,0,0,1664,0
0,0,0,0,0.00099822592,0,0,0,0,0,0,0,1792,0
0,0,0,0,0.0009980992,0,0,0,0,0,0,0,1920,0
0,0,0,0,0.00099797248,0,0,0,0,0,0,0,2048,0
0,0,0,0,0.00099784576,0,0,0,0,0,0,0,2176,0
0,0,0,0,0.00099771904,0,0,0,0,0,0,0,2304,0
0,0,0,0,0.00099759232,0,0,0,0,0,0,0,2432,0
0,0,0,0,0.0009974656,0,0,0,0,0,0,0,2560,0
0,0,0,0,0.00099733888,0,0,0,0,0,0,0,2688,0
0,0,0,0,0.00099721216,0,0,0,0,0,0,0,2816,0
0,0,0,0,0.0009970854400000002,0,0,0,0,0,0,0,2944,0
0,0,0,0,0.00099695872,0,0,0,0,0,0,0,3072,0
0,0,0,0,0.000996832,0,0,0,0,0,0,0,3200,0
0,0,0,0,0.00099670528,0,0,0,0,0,0,0,3328,0
0,0,0,0,0.00099657856,0,0,0,0,0,0,0,3456,0
0,0,0,0,0.00099645184,0,0,0,0,0,0,0,3584,0
0,0,0,0,0.00099632512,0,0,0,0,0,0,0,3712,0
0,0,0,0,0.0009961984000000001,0,0,0,0,0,0,0,3840,0
0,0,0,0,0.00099607168,0,0,0,0,0,0,0,3968,0
0,0,0,0,0.00099594496,0,0,0,0,0,0,0,4096,0
0,0,0,0,0.00099581824,0,0,0,0,0,0,0,4224,0
0,0,0,0,0.00099569152,0,0,0,0,0,0,0,4352,0
0,0,0,0,0.0009955648,0,0,0,0,0,0,0,4480,0
0,0,0,0,0.00099543808,0,0,0,0,0,0,0,4608,0
0,0,0,0,0.00099531136,0,0,0,0,0,0,0,4736,0
0,0,0,0,0.0009951846400000001,0,0,0,0,0,0,0,4864,0
0,0,0,0,0.00099505792,0,0,0,0,0,0,0,4992,0
0,0,0,0,0.0009949312,0,0,0,0,0,0,0,5120,0
0,0,0,0,0.00099480448,0,0,0,0,0,0,0,5248,0
0,0,0,0,0.00099467776,0,0,0,0,0,0,0,5376,0
0,0,0,0,0.00099455104,0,0,0,0,0,0,0,5504,0
0,0,0,0,0.00099442432,0,0,0,0,0,0,0,5632,0
0,0,0,0,0.0009942976,0,0,0,0,0,0,0,5760,0
0,0,0,0,0.0009941708800000001,0,0,0,0,0,0,0,5888,0
0,0,0,0,0.00099404416,0,0,0,0,0,0,0,6016,0
0,0,0,0,0.00099391744,0,0,0,0,0,0,0,6144,0
0,0,0,0,0.00099379072,0,0,0,0,0,0,0,6272,0
0,0,0,0,0.000993664,0,0,0,0,0,0,0,6400,0
0,0,0,0,0.00099353728,0,0,0,0,0,0,0,6528,0
0,0,0,0,0.00099341056,0,0,0,0,0,0,0,6656,0
0,0,0,0,0.00099328384,0,0,0,0,0,0,0,6784,0
0,0,0,0,0.00099315712,0,0,0,0,0,0,0,6912,0
0,0,0,0,0.0009930304,0,0,0,0,0,0,0,7040,0
0,0,0,0,0.0009929036800000002,0,0,0,0,0,0,0,7168,0
0,0,0,0,0.00099277696,0,0,0,0,0,0,0,7296,0
0,0,0,0,0.00099265024,0,0,0,0,0,0,0,7424,0
0,0,0,0,0.00099252352,0,0,0,0,0,0,0,7552,0
0,0,0,0,0.0009923968,0,0,0,0,0,0,0,7680,0
0,0,0,0,0.00099227008,0,0,0,0,0,0,0,7808,0
0,0,0,0,0.0009921433599999999,0,0,0,0,0,0,0,7936,0
0,0,0,0,0.0009920166400000001,0,0,0,0,0,0,0,8064,0
0,0,0,0,0.0009918899200000001,0,0,0,0,0,0,0,8192,0
0,0,0,0,0.0009917632,0,0,0,0,0,0,0,8320,0
0,0,0,0,0.00099163648,0,0,0,0,0,0,0,8448,0
0,0,0,0,0.00099150976,0,0,0,0,0,0,0,8576,0
0,0,0,0,0.00099138304,0,0,0,0,0,0,0,8704,0
0,0,0,0,0.00099125632,0,0,0,0,0,0,0,8832,0
0,0,0,0,0.0009911296,0,0,0,0,0,0,0,8960,0
0,0,0,0,0.0009910028800000001,0,0,0,0,0,0,0,9088,0
0,0,0,0,0.00099087616,0,0,0,0,0,0,0,9216,0
0,0,0,0,0.00099074944,0,0,0,0,0,0,0,9344,0
0,0,0,0,0.00099062272,0,0,0,0,0,0,0,9472,0
0,0,0,0,0.000990496,0,0,0,0,0,0,0,9600,0
0,0,0,0,0.00099036928,0,0,0,0,0,0,0,9728,0
0,0,0,0,0.00099024256,0,0,0,0,0,0,0,9856,0
0,0,0,0,0.00099011584,0,0,0,0,0,0,0,9984,0
0,0,0,0,0.00098998912,0,0,0,0,0,0,0,10112,0
0,0,0,0,0.0009898624,0,0,0,0,0,0,0,10240,0
0,0,0,0,0.00098973568,0,0,0,0,0,0,0,10368,0
0,0,0,0,0.0009896089600000002,0,0,0,0,0,0,0,10496,0
0,0,0,0,0.00098948224,0,0,0,0,0,0,0,10624,0
0,0,0,0,0.00098935552,0,0,0,0,0,0,0,10752,0
0,0,0,0,0.0009892288,0,0,0,0,0,0,0,10880,0
0,0,0,0,0.00098910208,0,0,0,0,0,0,0,11008,0
0,0,0,0,0.00098897536,0,0,0,0,0,0,0,11136,0
