window,step,throughput,cumulative_throughput
1,100,4,4
2,200,5,9
3,300,1,10
4,400,1,1
5,500,6,7
6,600,2,9
7,700,2,11
8,800,1,12
9,900,1,1
10,1000,4,5
11,1100,4,9
12,1200,2,11
13,1300,2,2
14,1400,6,8
15,1500,3,11
16,1600,1,12
17,1700,1,13
18,1800,2,2
19,1900,5,7
20,2000,4,11
21,2100,1,12
22,2200,3,15
23,2300,0,15
24,2400,2,17
25,2500,1,18
26,2600,1,19
27,2700,2,21
28,2800,1,22
29,2900,2,24
30,3000,1,25
31,3100,1,26
32,3200,4,30
33,3300,1,31
34,3400,1,32
35,3500,1,33
36,3600,3,36
37,3700,1,37
38,3800,1,38
39,3900,3,41
40,4000,2,43
41,4100,3,46
42,4200,1,47
43,4300,2,49
44,4400,3,52
45,4500,1,53
46,4600,6,59
47,4700,1,60
48,4800,3,63
49,4900,4,67
50,5000,2,69
51,5100,6,75
52,5200,2,77
53,5300,3,80
54,5400,0,80
55,5500,2,82
56,5600,1,83
57,5700,1,84
58,5800,2,86
59,5900,1,87
60,6000,4,91
61,6100,0,91
62,6200,7,98
63,6300,4,102
64,6400,1,103
65,6500,4,107
66,6600,2,109
67,6700,2,111
68,6800,2,113
69,6900,0,113
70,7000,3,116
71,7100,4,120
72,7200,1,121
73,7300,4,125
74,7400,5,130
75,7500,2,132
76,7600,0,132
77,7700,3,135
78,7800,6,141
79,7900,3,144
80,8000,2,146
81,8100,0,146
82,8200,3,149
83,8300,2,151
84,8400,3,154
85,8500,5,159
86,8600,1,160
87,8700,2,162
88,8800,1,163
89,8900,2,165
90,9000,4,169
91,9100,2,171
92,9200,1,172
93,9300,2,174
94,9400,4,178
95,9500,1,179
96,9600,6,185
97,9700,1,186
98,9800,3,189
99,9900,3,192
100,10000,2,194
101,10100,3,197
102,10200,1,198
103,10300,5,203
104,10400,1,204
105,10500,4,208
106,10600,6,214
107,10700,5,219
108,10800,1,220
109,10900,1,221
110,11000,5,226
111,11100,0,226
112,11200,4,230
113,11300,2,232
114,11400,3,235
115,11500,2,237
116,11600,2,239
117,11700,4,243
118,11800,1,244
119,11900,5,249
120,12000,0,249
121,12100,4,253
122,12200,1,254
123,12300,0,254
124,12400,2,256
125,12500,3,259
126,12600,3,262
127,12700,6,268
128,12800,1,269
129,12900,4,273
130,13000,3,276
131,13100,4,280
132,13200,2,282
133,13300,6,288
134,13400,1,289
135,13500,5,294
136,13600,3,297
137,13700,3,300
138,13800,3,303
139,13900,1,304
140,14000,3,307
141,14100,2,309
142,14200,0,309
143,14300,1,310
144,14400,4,314
145,14500,1,315
146,14600,1,316
147,14700,4,320
148,14800,3,3
149,14900,6,9
150,15000,0,9
151,15100,3,12
152,15200,3,15
153,15300,2,17
154,15400,3,3
155,15500,5,8
156,15600,1,9
157,15700,3,12
158,15800,3,15
159,15900,1,1
160,16000,6,7
161,16100,1,1
162,16200,6,7
163,16300,2,9
164,16400,2,11
165,16500,1,12
166,16600,3,15
167,16700,1,16
168,16800,2,18
169,16900,2,20
170,17000,1,1
171,17100,6,7
172,17200,2,9
173,17300,1,10
174,17400,4,14
175,17500,2,16
176,17600,1,17
177,17700,3,20
178,17800,1,21
179,17900,2,23
180,18000,0,23
181,18100,3,26
182,18200,1,27
183,18300,2,29
184,18400,1,30
185,18500,0,30
186,18600,5,35
187,18700,1,36
188,18800,2,38
189,18900,4,42
190,19000,3,45
191,19100,3,48
192,19200,1,49
193,19300,2,51
194,19400,1,52
195,19500,4,56
196,19600,2,58
197,19700,7,65
198,19800,4,69
199,19900,3,72
200,20000,1,73
201,20100,0,73
202,20200,5,78
203,20300,1,79
204,20400,1,1
205,20500,4,5
206,20600,4,9
207,20700,0,9
208,20800,5,14
209,20900,1,15
210,21000,2,17
211,21100,2,19
212,21200,1,20
213,21300,2,22
214,21400,5,27
215,21500,0,27
216,21600,2,29
217,21700,1,30
218,21800,1,31
219,21900,2,33
