step,reward,avg_speed,cav_count,hdv_count
0,0.403100,6.910288,19,12
1,0.399117,6.842014,19,12
2,0.395488,6.779798,19,12
3,0.391859,6.717576,19,12
4,0.388370,6.657773,19,12
5,0.394836,6.768623,20,12
6,0.391194,6.706189,20,12
7,0.388578,6.661345,20,12
8,0.386074,6.618408,20,12
9,0.383716,6.577985,20,12
10,0.381525,6.540427,20,12
11,0.379502,6.505754,20,12
12,0.377261,6.467337,20,12
13,0.375140,6.430974,20,12
14,0.373289,6.399243,20,12
15,0.371590,6.370116,20,12
16,0.370039,6.343530,20,12
17,0.368463,6.316507,20,12
18,0.366725,6.286711,20,12
19,0.365050,6.257999,20,12
20,0.363523,6.231822,20,12
21,0.362152,6.208328,20,12
22,0.360934,6.187448,20,12
23,0.359587,6.164347,20,12
24,0.358188,6.140372,20,12
25,0.356719,6.115182,20,12
26,0.355284,6.090589,20,12
27,0.353976,6.068165,20,12
28,0.352883,6.049424,20,12
29,0.351596,6.027362,20,12
30,0.350564,6.009676,20,13
31,0.349605,5.993231,20,13
32,0.348563,5.975371,20,13
33,0.347399,5.955414,20,13
34,0.346468,5.939457,20,13
35,0.345611,5.924758,20,13
36,0.344688,5.908938,20,13
37,0.506623,5.891965,20,12
38,0.505657,5.875419,20,12
39,0.504859,5.861736,20,13
40,0.504233,5.850994,20,13
41,0.503587,5.839918,20,13
42,0.502775,5.826000,20,13
43,0.502082,5.814130,20,13
44,0.501440,5.803117,20,13
45,0.500708,5.790577,20,13
46,0.314871,5.397783,19,13
47,0.314105,5.384653,19,13
48,0.313292,5.370724,19,13
49,0.312587,5.358634,19,13
50,0.312061,5.349620,19,13
51,0.315080,5.401378,20,13
52,0.314484,5.391162,20,13
53,0.313971,5.382352,20,13
54,0.313529,5.374783,20,13
55,0.313180,5.368800,20,13
56,0.312604,5.358929,20,13
57,0.312132,5.350827,20,13
58,0.311731,5.343958,20,13
59,0.311421,5.338642,20,13
60,0.311025,5.331862,20,13
61,0.310656,5.325535,20,13
62,0.310353,5.320330,20,13
63,0.310116,5.316270,20,12
64,0.309895,5.312493,20,12
65,0.309640,5.308120,20,12
66,0.309102,5.298898,20,12
67,0.308696,5.291935,20,12
68,0.446476,5.511014,21,12
69,0.446081,5.504249,21,12
70,0.444798,5.482249,21,12
71,0.443537,5.460628,21,12
72,0.442085,5.435741,21,12
73,0.440717,5.412286,21,12
74,0.440488,5.408368,21,12
75,0.440253,5.404332,21,12
76,0.440058,5.400999,21,12
77,0.439895,5.398207,21,12
78,0.439706,5.394954,21,12
79,0.439545,5.392207,21,12
80,0.439410,5.389890,21,12
81,0.438823,5.379821,21,13
82,0.437664,5.359958,21,13
83,0.436522,5.340384,21,13
84,0.435372,5.320658,21,13
85,0.434253,5.301473,21,13
86,0.432451,5.270592,21,13
87,0.431340,5.251546,21,12
88,0.430257,5.232977,21,12
89,0.428366,5.200568,21,12
90,0.425876,5.157877,21,12
91,0.423034,5.109157,21,12
92,0.420076,5.058440,21,12
93,0.417187,5.008918,21,12
94,0.414420,4.961486,21,13
95,0.411578,4.912763,21,13
96,0.408847,4.865951,21,13
97,0.406296,4.822225,21,13
98,0.403778,4.779045,21,13
99,0.401054,4.732363,21,13
100,0.398603,4.690332,21,13
101,0.395777,4.641886,21,13
102,0.392237,4.581208,21,13
103,0.389932,4.541694,21,13
104,0.387889,4.506675,21,13
105,0.388101,4.471515,21,12
106,0.390746,4.452567,21,12
107,0.393644,4.437966,21,12
108,0.396760,4.427102,21,12
109,0.399756,4.414172,21,13
110,0.402827,4.402541,21,13
111,0.406153,4.395261,21,13
112,0.409348,4.385760,21,13
113,0.412610,4.377381,21,13
114,0.430757,4.624189,22,13
115,0.434269,4.620106,22,13
116,0.437621,4.613282,22,13
117,0.441085,4.608381,22,13
118,0.444564,4.603746,22,13
119,0.448077,4.599684,22,13
120,0.451610,4.595949,22,13
121,0.455146,4.592296,22,12
122,0.458694,4.588828,22,12
123,0.462301,4.586375,22,12
124,0.465977,4.585111,22,12
125,0.469723,4.585043,22,12
126,0.473461,4.584827,22,12
127,0.477173,4.584174,22,12
128,0.480935,4.584382,22,12
129,0.484726,4.585092,22,13
